,Fec.G2.D42.Chase,Fec.G2.D84.Chase,Fec.G2.D84.Lady,Fec.G2.D84.Leia,Fec.G3.D42.Chloe,Fec.G3.D07.Chloe,Fec.G2.D49.Chase,Fec.G2.D49.Nash,Fec.G3.D14.Leah,Fec.G3.D14.Chloe,Fec.G3.D14.Rex,Fec.G2.D70.Leia,Fec.G2.D84.Terra,Fec.G3.D00.Bailey,Fec.G3.D14.Ozzy,Fec.G2.D42.Terra,Fec.G3.D07.Que,Fec.G3.D07.Rex,Fec.G3.D07.Ozzy,Fec.G2.D56.Terra,Fec.G3.D07.Lexy,Fec.G2.D56.Lady,Fec.G3.D28.Ozzy,Fec.G3.D42.Lexy,Fec.G2.D70.Chase,Fec.G3.D07.Hulk,Fec.G3.D28.Lexy,Fec.G2.D49.Amos,Fec.G3.D28.Rex,Fec.G3.D00.Rex,Fec.G3.D00.Ozzy,Fec.G3.D42.Rex,Fec.G2.D49.Terra,Fec.G2.D56.Leia,Fec.G3.D28.Que,Fec.G3.D14.Bailey,Fec.G2.D70.Mingo,Fec.G3.D14.Hulk,Fec.G2.D84.Mingo,Fec.G3.D42.Leah,Fec.G2.D49.Lady,Fec.G2.D70.Nash,Fec.G2.D70.Lady,Fec.G2.D42.Lady,Fec.G2.D56.Nash,Fec.G2.D49.Leia,Fec.G3.D00.Hulk,Fec.G2.D42.Leia,Fec.G3.D42.Hulk,Fec.G2.D70.Terra,Fec.G2.D56.Amos,Fec.G3.D42.Que,Fec.G2.D56.Mingo,Fec.G3.D28.Hulk,Fec.G2.D42.Amos,Fec.G3.D28.Leah,Fec.G3.D28.Chloe,Fec.G2.D84.Alfie,Fec.G2.D49.Alfie,Fec.G2.D84.Amos,Fec.G2.D84.Nash,Fec.G2.D70.Alfie,Fec.G3.D14.Lexy,Fec.G2.D49.Mingo,Fec.G3.D14.Que,Fec.G3.D00.Lexy,Fec.G3.D00.Leah,Fec.G3.D00.Que,Fec.G3.D07.Leah,Fec.G2.D70.Amos,Fec.G2.D42.Mingo,Fec.G3.D07.Bailey,Fec.G3.D28.Bailey,Fec.G3.D42.Bailey,Fec.G2.D56.Alfie,Fec.G2.D56.Chase,Fec.G3.D00.Chloe,Fec.G3.D42.Ozzy,Fec.G2.D42.Alfie,Fec.G2.D42.Nash
Fec.G3.D14.Rex,0.670614557593,0.671137119823,0.67020463843,0.666402780705,0.673910421849,0.640213768689,0.682268485298,0.647210417542,0.68300316444,0.601414548117,0.0,0.688668345267,0.676030113834,0.723458670475,0.679960275521,0.665186082275,0.625191231018,0.653450139444,0.661883732586,0.609402790922,0.673022087499,0.661638067064,0.683395890818,0.689849750905,0.650371196792,0.688479781166,0.689459187908,0.687384258043,0.701860560553,0.704758606109,0.68301167588,0.689610004262,0.627735605963,0.657830989418,0.670436532811,0.704738583057,0.673744924703,0.695281636285,0.679249807458,0.706368631825,0.646694935867,0.68531086525,0.644478805349,0.669725278331,0.67204519822,0.629546735869,0.744041421912,0.722362992996,0.725094791362,0.629334364505,0.660326210738,0.651835628906,0.68458357509,0.708448750926,0.750595052831,0.67531604859,0.695744194682,0.701979080619,0.693311051278,0.706536811001,0.705296397396,0.719169341476,0.690217646233,0.711365126665,0.630586693254,0.72727340353,0.728384625643,0.688677470071,0.699662257802,0.679273663541,0.691991811787,0.70611931747,0.693054942417,0.720770591781,0.665430098055,0.687420482778,0.680011046861,0.708846408175,0.706065230847,0.680906747304
Fec.G2.D70.Leia,0.658566353798,0.648377122801,0.631918444602,0.67373910127,0.679320310764,0.662096099178,0.737081601392,0.704081488981,0.710377368846,0.63325932035,0.688668345267,0.0,0.625157939431,0.724960176293,0.687430134859,0.671503646166,0.680970558599,0.687102365607,0.693060323962,0.657536719464,0.713189885588,0.68993881202,0.66840507652,0.655197806215,0.664048328202,0.731495129275,0.676858836253,0.720195488452,0.712664631616,0.675247516881,0.640415808253,0.673078202817,0.688995255798,0.665536761491,0.700090158382,0.750288200788,0.679648393525,0.713853397201,0.661866263691,0.671017222485,0.700964962638,0.68201042655,0.675119586357,0.650375078906,0.705270717147,0.685781778059,0.724445879043,0.69586120212,0.700897992837,0.672358520645,0.712743717449,0.677116490056,0.688059123419,0.651589253689,0.727126238191,0.677428531987,0.722441901974,0.656162994828,0.739610705143,0.632759388871,0.66643052041,0.724842852969,0.700279808383,0.725932635307,0.647765263997,0.74373725183,0.697495935074,0.694765076861,0.731511571372,0.657690766524,0.687929443886,0.739681424732,0.706626323957,0.657907299232,0.703636122458,0.706586536761,0.69310107387,0.70928465102,0.697708996511,0.694331197182
Fec.G2.D84.Terra,0.663391441991,0.664615909311,0.63474515161,0.66249286498,0.682982339425,0.676792687439,0.730627379171,0.701134389744,0.741040789032,0.635551120187,0.676030113834,0.625157939431,0.0,0.695817826996,0.697208845347,0.661608592499,0.705385160656,0.701701538536,0.691988426428,0.632379780666,0.713599694962,0.697808174556,0.673670746168,0.699973013327,0.665327415525,0.721533935147,0.690369896675,0.72914341975,0.693807492743,0.660266303019,0.658131878326,0.642203273099,0.663346365248,0.681589549297,0.672922396714,0.757517231431,0.682700557409,0.719196884151,0.686186515414,0.672289475856,0.691253444135,0.666913865715,0.653172359593,0.656242265422,0.697989484544,0.688857814829,0.699226714393,0.68521865915,0.693476720546,0.647293768954,0.720934510198,0.650647592607,0.698230578644,0.6745815261,0.706551550561,0.692657453471,0.694100847846,0.68950065597,0.739842264731,0.681466944466,0.672352756268,0.714378355457,0.707133443049,0.719765880308,0.652966863839,0.722440896221,0.712575027837,0.653898720439,0.73586990983,0.687193413141,0.673148126304,0.746318903907,0.688011891461,0.664272501312,0.713240097906,0.710175142525,0.679634893053,0.697191892876,0.666044477633,0.679535579767
Fec.G3.D00.Bailey,0.71290854992,0.746753536615,0.677002568282,0.667935935876,0.711312610275,0.724967300595,0.78737554753,0.753486977782,0.754782718253,0.707764285615,0.723458670475,0.724960176293,0.695817826996,0.0,0.748379639781,0.66290889008,0.761877201394,0.747204822794,0.769412317609,0.726934440928,0.723591159348,0.765050272732,0.663832136241,0.710473654305,0.708267012578,0.723547656393,0.686746445465,0.729883295822,0.654120075672,0.649257125877,0.681914626927,0.619539453308,0.723573208937,0.768712135969,0.630276865173,0.760463450277,0.693460561856,0.724991946504,0.699440040294,0.680944413812,0.758564265937,0.600274050057,0.64272725429,0.669959537933,0.763532797089,0.750557390074,0.609252682704,0.600707067393,0.625487455095,0.74761722579,0.743147932512,0.653509842985,0.725856436256,0.687816260717,0.646651200056,0.723019021216,0.636305219599,0.657380352152,0.751371858732,0.669347726924,0.655514572197,0.640900304533,0.704903979026,0.725848341361,0.721888457831,0.586089067145,0.620956100365,0.60675050666,0.745785133519,0.661012759239,0.632398273835,0.745106802583,0.712427008305,0.712477186771,0.707028160797,0.766690719442,0.641941553951,0.642188437607,0.593420919589,0.636602867288
Fec.G3.D14.Ozzy,0.653220611489,0.640469747185,0.694706722283,0.677223425825,0.714215132376,0.588813537814,0.633814971519,0.569315458717,0.618463364184,0.633291282258,0.679960275521,0.687430134859,0.697208845347,0.748379639781,0.0,0.727091137511,0.586779443052,0.561698426296,0.54437319259,0.615535255853,0.609918679849,0.571702504108,0.691140797192,0.659648505137,0.677298684779,0.658715827675,0.675686110759,0.598398275962,0.74202611909,0.735658893453,0.645016583194,0.718281948707,0.610689470756,0.643546969659,0.716053069249,0.659064101046,0.732016702648,0.622190412236,0.720111373411,0.714182243237,0.575815258465,0.736871740821,0.723714618454,0.684791065509,0.621742084119,0.654671854118,0.778443470929,0.763670154271,0.752251074932,0.634937210037,0.620340415902,0.713878384553,0.658402816825,0.737066241336,0.783865212492,0.726613929085,0.723035521861,0.756910343267,0.670250158421,0.709353548675,0.701048426055,0.754913368369,0.612971704998,0.63981763167,0.599327868631,0.753582426627,0.720850024727,0.708428026129,0.617710222072,0.735017102583,0.737664429706,0.654803248118,0.710119991965,0.752833047375,0.684611129773,0.61002045312,0.711599878277,0.709219281666,0.753986171936,0.706871969715
Fec.G2.D42.Terra,0.688393587045,0.694430156121,0.618568638119,0.64686986569,0.671973902939,0.677241561123,0.759225996415,0.727371348979,0.757434361499,0.647804956185,0.665186082275,0.671503646166,0.661608592499,0.66290889008,0.727091137511,0.0,0.698452511211,0.699956095936,0.737539827769,0.657222075445,0.729413038443,0.712776597119,0.62551552623,0.695089466249,0.676451672936,0.744056479413,0.712412617651,0.736300267042,0.679386397801,0.623402139311,0.627656237564,0.626996126225,0.638999882232,0.702372303178,0.669922005065,0.769494638319,0.684850510446,0.730288487851,0.698454355284,0.693901140762,0.728178042888,0.619925675164,0.636034606742,0.644171414456,0.734727039034,0.708535095967,0.627270286918,0.657164850287,0.636256283605,0.697993769866,0.728542687718,0.640389592094,0.729114169383,0.679906817154,0.656563746094,0.711575809055,0.681820937873,0.674136331799,0.742026218294,0.666552290766,0.625021014523,0.695645757503,0.723539128021,0.738467772434,0.684552682294,0.685355734238,0.653086434132,0.621841563504,0.741673220691,0.657669625419,0.656373850163,0.754548369974,0.735654282897,0.708020087783,0.720759455148,0.733104017404,0.59901479441,0.628531826485,0.63351023731,0.62901459761
Fec.G3.D07.Que,0.658005861618,0.665208774026,0.674899667043,0.671663321303,0.716854193976,0.58271750657,0.669299135266,0.627810456065,0.631800476515,0.617417302793,0.625191231018,0.680970558599,0.705385160656,0.761877201394,0.586779443052,0.698452511211,0.0,0.583259303806,0.564736749296,0.616176316537,0.650587053166,0.612695463273,0.690614549561,0.624817450467,0.661119912634,0.673775339073,0.678019358823,0.667175604761,0.738792331595,0.731412432153,0.669155740242,0.719138377158,0.625357741897,0.616122098827,0.69740528816,0.67905365208,0.688448983948,0.645501109808,0.676536449986,0.699386760259,0.613726234692,0.712961779417,0.685576277275,0.671360037662,0.629773335608,0.647974716406,0.770087300277,0.757668408902,0.750582650729,0.647743193416,0.639209363279,0.700264986684,0.643598543215,0.723262126475,0.773024979374,0.685437508546,0.718252279866,0.743454163133,0.680833055888,0.710160076929,0.717531292603,0.734386458409,0.628009774614,0.659985634853,0.603523202539,0.750045301905,0.729096983805,0.731501537608,0.649168564541,0.704329698032,0.720685557689,0.645422030751,0.690487996475,0.72891762942,0.643639071944,0.619792236757,0.701932840385,0.710951813734,0.734192147887,0.707306496283
Fec.G3.D07.Rex,0.676189246089,0.652533646059,0.694443408356,0.655518573137,0.710099178084,0.579474983379,0.639877242461,0.573648384743,0.624302607712,0.620601651588,0.653450139444,0.687102365607,0.701701538536,0.747204822794,0.561698426296,0.699956095936,0.583259303806,0.0,0.560938344152,0.63243482076,0.5865886168,0.5826695569,0.681415883452,0.65119458719,0.684713050386,0.640185173641,0.684398562637,0.621011274587,0.737713522319,0.720111569612,0.645835327852,0.698939773043,0.611874775749,0.637221991302,0.699499695564,0.63142397359,0.701530207873,0.596111309169,0.675826685753,0.717130519017,0.581171754046,0.718242097931,0.709998748635,0.654905129734,0.583176265462,0.623355332116,0.762446610451,0.750320287226,0.744685460631,0.641754905213,0.644439344761,0.682839676462,0.643627611595,0.702680828804,0.774501830984,0.705809389448,0.706004018858,0.73651848904,0.646109211861,0.690668760072,0.696722397904,0.745502652096,0.557052552016,0.616717710206,0.573114980922,0.728703880191,0.716091215765,0.715750242485,0.592933328556,0.713731130723,0.721669092803,0.611011289012,0.671530292465,0.716415598646,0.662871489858,0.587138173256,0.685867436687,0.693066004071,0.728206664396,0.706035196803
Fec.G3.D07.Ozzy,0.664718749882,0.637827157118,0.70540247031,0.681659954744,0.719293357376,0.581041494498,0.647666295883,0.566502830153,0.61753347069,0.644149375875,0.661883732586,0.693060323962,0.691988426428,0.769412317609,0.54437319259,0.737539827769,0.564736749296,0.560938344152,0.0,0.61213957733,0.583631526259,0.580925960998,0.704231925386,0.626343983001,0.679684273065,0.646663045644,0.678243554654,0.602240832993,0.745626265349,0.738491921239,0.655597807155,0.722437728195,0.611723243768,0.615389875368,0.707367589445,0.623586908229,0.704486284202,0.609917582756,0.685598098407,0.699018802582,0.553575982053,0.724009853845,0.713682610147,0.684613563992,0.571745233695,0.626272932246,0.779437058236,0.77871632839,0.755319650933,0.625451467624,0.632865589884,0.706585242925,0.62018018706,0.7237002993,0.790460943226,0.682309989025,0.725237513389,0.75719017496,0.652723168574,0.713227589395,0.721747452144,0.7524678304,0.582174620802,0.61725486737,0.582161984889,0.761348309137,0.736980192134,0.725907566341,0.607034250413,0.736230725725,0.733543789642,0.610090059665,0.696359237989,0.738372332981,0.669909914689,0.565258802669,0.723136139252,0.725157340244,0.749454360027,0.706370481173
Fec.G2.D56.Terra,0.639803897078,0.644531325801,0.66994727992,0.652952964509,0.688025427582,0.616658126399,0.682486342116,0.618882988229,0.686368649035,0.602017215412,0.609402790922,0.657536719464,0.632379780666,0.726934440928,0.615535255853,0.657222075445,0.616176316537,0.63243482076,0.61213957733,0.0,0.660603334153,0.625857046738,0.682977969368,0.645139925278,0.641910929058,0.684107586,0.694051437878,0.677415560546,0.714137087319,0.695852210198,0.640936811172,0.687823337288,0.595057528073,0.607826640699,0.691164693603,0.688845747823,0.680499307284,0.669007837618,0.698932622469,0.692289121089,0.622654044835,0.682310255,0.619785931841,0.637085473502,0.652151266414,0.60695988742,0.728860082889,0.72508750578,0.712286877121,0.59921155513,0.654423050873,0.672941638537,0.6648557572,0.708618420131,0.739938151194,0.659133886044,0.702235366546,0.716498854523,0.694844827871,0.7014002053,0.692724099712,0.726615731639,0.660111079149,0.669672680137,0.628261975267,0.742414926948,0.715361609366,0.680040300843,0.681114002112,0.697745296659,0.68435898679,0.689450670148,0.677344129188,0.706065834848,0.673735317017,0.652015723481,0.676368800679,0.701901897813,0.698302793261,0.682736680363
