	RS34.D0	RS34.D2	RS37.D5	RS35.D0	RS35.D2	RS38.D5	RS36.D0	RS36.D2	RS54.D5	RS38.D0	RS38.D2	RS35.D5	RS39.D0	RS39.D2	RS34.D5	RS45.D0	RS45.D2	RS45.D5.C	RS49.D0	RS49.D2	RS49.D5	RS51.D0	RS51.D2	RS51.D5	RS55.D0	RS55.D2	RS55.D5	RS31.D0	RS31.D2	RS31.D5	RS32.D0	RS32.D2	RS32.D5	RS33.D0	RS33.D2	RS33.D5	RS54.D0	RS54.D2	RS36.D5	RS40.D0	RS40.D2	RS40.D5	RS48.D0	RS48.D2	RS48.D5	RS50.D0	RS50.D2	RS50.D5
RS39.D2	0.575319972455	0.579083437581	0.575225041581	0.577880590079	0.576941102921	0.569219556296	0.584278829857	0.565810576149	0.570600403728	0.573123087611	0.611514811928	0.581576655107	0.739770619345	0.0	0.615227341769	0.570849812024	0.581300551328	0.590723521333	0.568510253451	0.571264339911	0.581985532698	0.587379534662	0.576907086762	0.568774988429	0.550947084367	0.572765264409	0.557216284898	0.577593341204	0.576467250858	0.58031356365	0.58014462047	0.575474389661	0.580406078617	0.5672129512	0.569946760626	0.574256195205	0.573138340495	0.577177446643	0.563263114402	0.571137266648	0.560812691217	0.578692306512	0.571661651195	0.594466749003	0.580487186059	0.571494233876	0.613155215107	0.591262274127
RS34.D5	0.637750649241	0.601483186549	0.611916290785	0.633369499134	0.608788238482	0.60744740288	0.605992760987	0.608950387413	0.63010861848	0.637485635459	0.57667539627	0.610266925405	0.651313675312	0.615227341769	0.0	0.62050039527	0.601840516949	0.576527221975	0.629243402197	0.614239181863	0.622640528269	0.623854444615	0.622257263643	0.605602064327	0.600113568815	0.623817806215	0.588303186407	0.634040281451	0.609599350107	0.60360944246	0.64306369314	0.603530952407	0.625244678025	0.587614204933	0.561640593224	0.609839518554	0.625923616015	0.587175636529	0.620952519382	0.615428675318	0.597570484538	0.618066142904	0.592465870763	0.603764240348	0.603341882988	0.624421091804	0.569638038692	0.600700653599
RS45.D0	0.57473176005	0.579881193202	0.577405032136	0.568721486706	0.582160663547	0.565143677386	0.571531763783	0.561378157979	0.572358635967	0.575841949615	0.604261827795	0.596095201785	0.735282631309	0.570849812024	0.62050039527	0.0	0.555957476132	0.575175474893	0.562793541306	0.584572104657	0.579330605562	0.574054157765	0.570631480924	0.56906729802	0.555488845657	0.569983229651	0.556611734559	0.565200888099	0.574321435615	0.555409172572	0.576374565361	0.560176990895	0.571876305942	0.560259396363	0.576657876866	0.575673922812	0.565158972682	0.579680968899	0.573013548665	0.564510572002	0.557000052012	0.574103901855	0.567690407247	0.578412507438	0.572694955623	0.572585925851	0.612594248822	0.588681996125
RS45.D2	0.579401659876	0.578973105338	0.582663201664	0.580032358352	0.562065454795	0.576277611374	0.567374374904	0.572099594501	0.575596010734	0.570413001961	0.574471871373	0.580698831415	0.742470031094	0.581300551328	0.601840516949	0.555957476132	0.0	0.549666055218	0.572324000541	0.581368588327	0.581646434079	0.579818184522	0.570075289714	0.563839196573	0.564554323923	0.571386610303	0.563224034085	0.581298668294	0.572578471284	0.570793821304	0.580083978837	0.570480472775	0.57611637459	0.558483380349	0.570158782275	0.561787927694	0.582957823662	0.571778651215	0.578242207284	0.570958465012	0.563542270015	0.571909608327	0.581685127054	0.57563971335	0.571884704303	0.585885587591	0.589173711481	0.577763642558
RS45.D5.C	0.600344462106	0.585614733314	0.573722228453	0.579278448808	0.582561970139	0.568332810796	0.553827872948	0.561707848493	0.590224300871	0.574185151456	0.573359335703	0.602875744612	0.708954402688	0.590723521333	0.576527221975	0.575175474893	0.549666055218	0.0	0.588583500387	0.588618183233	0.579726360052	0.582309210811	0.591903429826	0.580080232895	0.56728379483	0.57049509368	0.547204843611	0.574288476265	0.570216201482	0.553041562695	0.594877504775	0.555992290547	0.564552046632	0.546418314763	0.565514534627	0.560845036804	0.564485089597	0.570549137257	0.578674427412	0.566824213414	0.561056253074	0.576945900559	0.572146205086	0.597925253265	0.572288055451	0.6043228863	0.585875534573	0.587362724838
RS49.D0	0.579825457079	0.590563923214	0.57249132967	0.574306317797	0.576468341243	0.56376419017	0.569997238199	0.572263888049	0.573638462691	0.573376445285	0.604351457311	0.596497450678	0.755312304444	0.568510253451	0.629243402197	0.562793541306	0.572324000541	0.588583500387	0.0	0.559167240154	0.557621903886	0.576017562404	0.570207791789	0.562026560989	0.574783658992	0.574551015809	0.550483435229	0.578313541111	0.577221200865	0.576350413866	0.584153319486	0.57364762198	0.577818790033	0.578639944377	0.582719185512	0.573296343778	0.579966323372	0.588974189416	0.574278058461	0.569090565729	0.560522755714	0.567249236817	0.58041537715	0.591813840688	0.570492883845	0.589005947131	0.62766435448	0.597384781774
RS49.D2	0.593616965097	0.596028153639	0.561525455822	0.588513376547	0.573910829135	0.566087128633	0.575831935634	0.57373367091	0.594392995776	0.593841815201	0.600122143635	0.592307191237	0.731523711655	0.571264339911	0.614239181863	0.584572104657	0.581368588327	0.588618183233	0.559167240154	0.0	0.573223261533	0.576237255697	0.578086980489	0.566965661246	0.576955147472	0.578591714123	0.569017933609	0.594237271447	0.576285025796	0.576416879596	0.609042396075	0.587278966755	0.585565942636	0.590183647073	0.580436890161	0.592066675861	0.590252330848	0.598553799644	0.578538565342	0.585072532235	0.570267417621	0.592991049468	0.570455724988	0.59845327765	0.580775778015	0.587074539656	0.625573181947	0.609072240221
RS49.D5	0.581023899638	0.584714469799	0.57293713954	0.573191058241	0.572359936864	0.561371340116	0.577175353616	0.566923129335	0.571317160323	0.569278640293	0.602849176854	0.578273712913	0.746180575394	0.581985532698	0.622640528269	0.579330605562	0.581646434079	0.579726360052	0.557621903886	0.573223261533	0.0	0.579368443847	0.570905185138	0.570027777871	0.564982316991	0.564152135674	0.557333675593	0.587169748187	0.583564428595	0.57774068722	0.589140097634	0.576574788082	0.589610826586	0.593117356242	0.589495709932	0.577014754311	0.590184887629	0.596014778554	0.588299294808	0.586180026749	0.566855460244	0.571447529333	0.5838024037	0.582080958105	0.576778691191	0.575964754343	0.624782024413	0.5941460374
RS51.D0	0.586076275593	0.59226002055	0.58333182373	0.587868338076	0.584922323056	0.579471122408	0.58385272291	0.567081549974	0.58462601341	0.587085230317	0.608384485508	0.595798500247	0.751183485794	0.587379534662	0.623854444615	0.574054157765	0.579818184522	0.582309210811	0.576017562404	0.576237255697	0.579368443847	0.0	0.581651349982	0.564495365273	0.567558392497	0.57116241619	0.574822437264	0.59232768697	0.564905701894	0.563418411665	0.60424784951	0.572912180099	0.588352251229	0.582552552635	0.588074071088	0.583816294507	0.5731763206	0.585009265696	0.596827966438	0.581899944952	0.575714753838	0.588210690576	0.58400315273	0.596226383115	0.578018474304	0.585802104568	0.625749139008	0.60699477134
RS51.D2	0.574222423109	0.584534119272	0.578563759477	0.576451398333	0.567061963476	0.563073059237	0.575026714444	0.56431003386	0.571315130033	0.568361452022	0.595959758967	0.58248714282	0.749585854649	0.576907086762	0.622257263643	0.570631480924	0.570075289714	0.591903429826	0.570207791789	0.578086980489	0.570905185138	0.581651349982	0.0	0.545178438711	0.55847157573	0.573616170203	0.555433162397	0.577398349094	0.570159871147	0.565948170891	0.579625134656	0.568556545843	0.58386194713	0.573639871852	0.584766252621	0.577191336633	0.580508384472	0.579384663334	0.571720713928	0.575624015284	0.561018919381	0.585780776536	0.576762243789	0.576345386307	0.572048391038	0.585567670919	0.615798932944	0.595101103769
